canonical_name,place_type,place_status,verification_status,source_datasets,aliases,notes
Chase & District Health Society,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Chase & District Health Society,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2014/2015 to 2024/2025, total payments $759,204.85. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Chilliwack Division of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Chilliwack Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $933,305.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Comox Valley Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Comox Valley Division Of Family Practice|Comox Valley Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $219,000.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $2,082,300.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Continuing Medical Education Fund,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Continuing Medical Education Fund,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $255,618,935.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Cowichan Valley Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Cowichan Valley Division Of Family Practice|Cowichan Valley Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $438,000.00. Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $1,863,300.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Cowichan Valley Health-Care Society,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Cowichan Valley Health-Care Society,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2014/2015 to 2018/2019, total payments $21,785,881.46. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Dr. Thomas C Woods Inc.,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Dr. Thomas C Woods Inc.,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2024/2025 to 2024/2025, total payments $42,228.59. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Drs Rebecca Lindley & Jeremy Coward Physicians Inc.,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Drs Rebecca Lindley & Jeremy Coward Physicians Inc.,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $30,032.54. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
East Kootenay Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,East Kootenay Division Of Family Practice|East Kootenay Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $343,100.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $2,896,770.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Elkford Health Care Centre Society,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Elkford Health Care Centre Society,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $71,909.94. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
"Elkford Health Care Centre Society, The",organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,"Elkford Health Care Centre Society, The","Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $262,256.06. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Family Practice Services Committee,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Family Practice Services Committee,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2022/2023 to 2024/2025, total payments $332,823,296.31. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
FHA Chilliwack Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,FHA Chilliwack Division Of Family Practice|FHA-Chilliwack Division Of Family Practice|FHA-Chilliwack Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $510,418.83. Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2015/2016 to 2015/2016, total payments $331,802.56. Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2016/2017 to 2020/2021, total payments $1,333,710.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
General Practice Services Committee,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,General Practice Services Committee,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2018/2019 to 2021/2022, total payments $369,046,373.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Health Employers Association of British Columbia,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Health Employers Association of British Columbia,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $31,964,459.14. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Houston Health Care,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Houston Health Care,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,002,846.73. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass. Possible match to Houston Health Centre at 3202 14 St"
Kootenay Boundary Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Kootenay Boundary Division of Family Practice|Kootenay Boundary Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $193,450.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $1,839,365.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Lake Country Medical,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Lake Country Medical,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2017/2018 to 2019/2020, total payments $235,000.00. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass. Possible local matches include Lake Country Family Practice and Lake Country Health; no authoritative exact match was found for Lake Country Medical."
Langley Division of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Langley Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2016/2017 to 2016/2017, total payments $132,000.00. Division of Family Practice is a physician network/administrative organization, not a public clinic/place row. Official site lists office contact separately."
Merritt Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Merritt Division Of Family Practice|Merritt Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $47,450.00. Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2015/2016 to 2023/2024, total payments $427,310.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Mission Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Mission Division of Family Practice|Mission Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $113,150.00. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2015/2016 to 2016/2017, total payments $226,610.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
NHA Prince George Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,NHA Prince George Division of Family Practice|NHA Prince George Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $392,971.47. Imported from MSP Blue Book payee names; address not verified. Seen 6 row(s), 2015/2016 to 2020/2021, total payments $1,373,987.06. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Nisga'a Valley Health Board,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Nisga'a Valley Health Board,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $1,817,619.77. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
North Peace Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,North Peace Division Of Family Practice|North Peace Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $146,000.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $1,388,200.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Northern Interior Rural Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Northern Interior Rural Division of Family Practice|Northern Interior Rural Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $160,600.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $1,346,165.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
PACIFIC NORTHWEST DIVISION OF FAMILY PRACTICE,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Pacific Northwest Division of Family Practice|PACIFIC NORTHWEST DIVISION OF FAMILY PRACTICE,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2018/2019 to 2020/2021, total payments $311,472.50. Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $396,335.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Pattern of Practice Committee,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Pattern of Practice Committee,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2021/2022 to 2024/2025, total payments $237,916.87. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Peninsula General Practice Group,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Peninsula General Practice Group,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2014/2015 to 2018/2019, total payments $1,022,600.00. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass. Appears to be a general practice group or payment label rather than a specific public clinic; no authoritative public clinic address was found."
Physician Disability Insurance Program,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Physician Disability Insurance Program,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $221,797,701.77. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Physician Health Program,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Physician Health Program,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $21,483,932.14. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Port Alberni Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Port Alberni Division Of Family Practice|Port Alberni Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $47,450.00. Imported from MSP Blue Book payee names; address not verified. Seen 7 row(s), 2015/2016 to 2021/2022, total payments $320,547.50. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Port Hardy Physicians,organization,ambiguous,needs_review,bc_msp_blue_book|manual_enrichment,Port Hardy Physicians,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2014/2015 to 2023/2024, total payments $407,282.54. Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass. Possible payment label for Port Hardy physician services; Port Hardy Primary Health Care Centre is a plausible facility"
Powell River Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Powell River Division of Family Practice|Powell River Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $80,300.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $763,510.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Prince George Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Prince George Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $767,100.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Prince Rupert Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Prince Rupert Division of Family Practice|Prince Rupert Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $226,300.00. Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $962,705.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Providence Health Care,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Providence Health Care,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $257,298.27. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Providence Health Care Society,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Providence Health Care Society,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2014/2015 to 2019/2020, total payments $55,504,329.61. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Provincial Health Services Authority,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Provincial Health Services Authority,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $2,218,929,539.34. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Quadra Island Health Society,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Quadra Island Health Society,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2019/2020 to 2019/2020, total payments $40,816.24. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Quesnel Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Quesnel Division Of Family Practice|Quesnel Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $80,300.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $763,510.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Rem Tek Enterprises Ltd.,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Rem Tek Enterprises Ltd.,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $111,391,770.19. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Robert Lewis MD Inc.,organization,corporate_entity_no_public_clinic,classified_non_place,bc_msp_blue_book|manual_enrichment,Robert Lewis MD Inc.,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2024/2025 to 2024/2025, total payments $43,489.45. Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Rural Coordination Centre of BC,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Rural Coordination Centre of BC,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $77,962,418.56. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Rural Health Programs,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Rural Health Programs,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $76,258,602.33. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Salt Spring Chapter Division of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Salt Spring Chapter Division of Family Practice|Salt Spring Chapter-Division Of Family Practice|Salt Spring Chapter-Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $281,270.00. Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $80,300.00. Imported from MSP Blue Book payee names; address not verified. Seen 6 row(s), 2015/2016 to 2020/2021, total payments $482,240.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Sea To Sky Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Sea To Sky Division Of Family Practice|Sea to Sky Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2024/2025 to 2024/2025, total payments $73,400.00. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2022/2023 to 2023/2024, total payments $292,000.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Selkirk Medical Group Unassigned In-Patient Care Incentives,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Selkirk Medical Group Unassigned In-Patient Care Incentives,"Imported from MSP Blue Book payee names; address not verified. Seen 6 row(s), 2014/2015 to 2019/2020, total payments $284,960.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Shuswap North Okanagan Div Of Family Practice-Vernon,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Shuswap North Okanagan Div Of Family Practice-Vernon,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $638,750.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Shuswap North Okanagan Division of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Shuswap North Okanagan Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $639,250.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Shuswap North Okanagan Division of Family Practice-Vernon,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,Shuswap North Okanagan Division of Family Practice-Vernon,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2016/2017 to 2020/2021, total payments $913,500.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
South Island Division of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,South Island Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2015/2016 to 2015/2016, total payments $36,500.00. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
South Okanagan Similkameen Division Of Family Practice,organization,non_place_program,classified_non_place,bc_msp_blue_book|manual_enrichment,South Okanagan Similkameen Division Of Family Practice|South Okanagan Similkameen Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $614,104.52. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $3,229,418.23. Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
