payee_name,first_fiscal_year,latest_fiscal_year,rows,total_amount
"Jim Pattison Outpatient Care & Surgery Centre",2021/2022,2024/2025,4,44353158.93
"Kirschner Medical",2018/2019,2020/2021,3,401624.97
"Kootenay Boundary Division Of Family Practice",2014/2015,2014/2015,1,193450.0
"Kootenay Boundary Division of Family Practice",2015/2016,2024/2025,10,1839365.0
"Ladysmith Community Health Centre",2014/2015,2024/2025,11,4181743.96
"Ladysmith Health Centre",2014/2015,2024/2025,11,7679960.53
"Lake Country Medical",2017/2018,2019/2020,3,235000.0
"Langley Division of Family Practice",2016/2017,2016/2017,1,132000.0
"Langley Primary Health Care Associates",2014/2015,2024/2025,11,21186816.78
"Logan Lake Diagnosis & Treatment Centre",2014/2015,2024/2025,10,444820.27
"Lumby Health Centre",2014/2015,2024/2025,11,502430.78
"Merritt Division Of Family Practice",2014/2015,2014/2015,1,47450.0
"Merritt Division of Family Practice",2015/2016,2023/2024,9,427310.0
"Mission Division Of Family Practice",2014/2015,2014/2015,1,113150.0
"Mission Division of Family Practice",2015/2016,2016/2017,2,226610.0
"Mission Oaks Medical Centre",2017/2018,2024/2025,8,26039586.41
"Murrayville Family Practice",2014/2015,2024/2025,11,33844033.44
"NHA Prince George Division Of Family Practice",2014/2015,2014/2015,1,392971.47
"NHA Prince George Division of Family Practice",2015/2016,2020/2021,6,1373987.06
"Namgis Health Centre",2019/2020,2022/2023,2,93847.05
"Nicola Valley Health Centre",2014/2015,2024/2025,11,5090381.47
"Nicola Valley Medical Centre",2020/2021,2024/2025,5,490893.0
"Nisga'a Valley Health Board",2014/2015,2015/2016,2,1817619.77
"North Peace Division Of Family Practice",2014/2015,2014/2015,1,146000.0
"North Peace Division of Family Practice",2015/2016,2024/2025,10,1388200.0
"North Peace Primary Care Centre",2016/2017,2022/2023,7,10902485.93
"North Shuswap Health Centre",2016/2017,2022/2023,6,275748.69
"North Vancouver Urgent and Primary Care Centre",2021/2022,2023/2024,3,731833.25
"Northern Interior Rural Division Of Family Practice",2014/2015,2014/2015,1,160600.0
"Northern Interior Rural Division of Family Practice",2015/2016,2024/2025,10,1346165.0
"Oceanside Health Centre",2014/2015,2024/2025,11,18826324.26
"PACIFIC NORTHWEST DIVISION OF FAMILY PRACTICE",2018/2019,2020/2021,3,311472.5
"Pacific Northwest Division of Family Practice",2021/2022,2024/2025,4,396335.0
"Pattern of Practice Committee",2021/2022,2024/2025,3,237916.87
"Pemberton Health Centre",2014/2015,2024/2025,11,1535051.09
"Peninsula General Practice Group",2014/2015,2018/2019,5,1022600.0
"Physician Disability Insurance Program",2014/2015,2024/2025,11,221797701.77
"Physician Health Program",2014/2015,2024/2025,11,21483932.14
"Pleasant Valley Health Centre",2014/2015,2024/2025,11,1083287.82
"Port Alberni Division Of Family Practice",2014/2015,2014/2015,1,47450.0
"Port Alberni Division of Family Practice",2015/2016,2021/2022,7,320547.5
"Port Hardy Physicians",2014/2015,2023/2024,10,407282.54
"Port McNeil Health Care Centre",2021/2022,2021/2022,1,47618.17
"Port McNeill Health Care Centre",2022/2023,2024/2025,3,140491.1
"Port McNeill Medical Collaborative",2016/2017,2023/2024,8,332582.55
"Port Mcneill Medical Collaborative",2014/2015,2015/2016,2,128862.71
"Powell River Division Of Family Practice",2014/2015,2014/2015,1,80300.0
"Powell River Division of Family Practice",2015/2016,2024/2025,10,763510.0
"Prince George Division Of Family Practice",2021/2022,2024/2025,4,767100.0
"Prince Rupert Division Of Family Practice",2014/2015,2015/2016,2,226300.0
"Prince Rupert Division of Family Practice",2016/2017,2024/2025,9,962705.0
"Providence Health Care",2014/2015,2015/2016,2,257298.27
"Providence Health Care Society",2014/2015,2019/2020,5,55504329.61
"Provincial Health Services Authority",2014/2015,2024/2025,11,2218929539.34
"Quadra Island Health Society",2019/2020,2019/2020,1,40816.24
"Quesnel Division Of Family Practice",2014/2015,2014/2015,1,80300.0
"Quesnel Division of Family Practice",2015/2016,2024/2025,10,763510.0
"Rem Tek Enterprises Ltd.",2014/2015,2024/2025,11,111391770.19
"Robert Lewis MD Inc.",2024/2025,2024/2025,1,43489.45
"Rural Coordination Centre of BC",2021/2022,2024/2025,4,77962418.56
"Rural Health Programs",2015/2016,2024/2025,10,76258602.33
"Rutland Medical Associates",2017/2018,2020/2021,4,339872.0
"SPECIALIST PHYSICIANS",2022/2023,2022/2023,1,29345.13
"SPH General Practice Society",2019/2020,2024/2025,3,548700.0
"Salt Spring Chapter Division of Family Practice",2021/2022,2024/2025,4,281270.0
"Salt Spring Chapter-Division Of Family Practice",2014/2015,2014/2015,1,80300.0
"Salt Spring Chapter-Division of Family Practice",2015/2016,2020/2021,6,482240.0
"Sea To Sky Division Of Family Practice",2024/2025,2024/2025,1,73400.0
"Sea to Sky Division of Family Practice",2022/2023,2023/2024,2,292000.0
"Selkirk Medical Group",2019/2020,2024/2025,6,647429.3
"Selkirk Medical Group Unassigned In-Patient Care Incentives",2014/2015,2019/2020,6,284960.0
"Seymore Urgent Primary Care Centre",2024/2025,2024/2025,1,239519.44
"Seymour Health Centre",2019/2020,2024/2025,6,1209819.27
"Shuswap North Okanagan Div Of Family Practice-Vernon",2014/2015,2015/2016,2,638750.0
"Shuswap North Okanagan Division of Family Practice",2021/2022,2024/2025,4,639250.0
"Shuswap North Okanagan Division of Family Practice-Vernon",2016/2017,2020/2021,5,913500.0
"Slocan Community Health Centre",2014/2015,2024/2025,3,80643.65
"South Island Division of Family Practice",2015/2016,2015/2016,1,36500.0
"South Okanagan Similkameen Division Of Family Practice",2014/2015,2014/2015,1,614104.52
"South Okanagan Similkameen Division of Family Practice",2015/2016,2024/2025,10,3229418.23
"South Similkameen Health",2015/2016,2024/2025,10,726885.43
"South Similkameen Health Centre",2015/2016,2015/2016,1,54295.28
"Sparwood Health Centre",2016/2017,2024/2025,9,587240.18
"Sparwood Health Centre.",2014/2015,2015/2016,2,145948.65
"Spectrum Health Care",2014/2015,2024/2025,11,38283352.08
"Sph General Practice Society",2021/2022,2023/2024,3,657000.0
"Summerland Health Centre",2014/2015,2024/2025,11,2342495.88
"Sun Peaks Family Practice",2020/2021,2022/2023,3,291240.46
"Sunshine Coast Division Of Family Practice",2014/2015,2014/2015,1,113150.0
"Sunshine Coast Division of Family Practice",2015/2016,2024/2025,10,1075855.0
"Sunshine Coast/Sea To Sky Division Of Family Practice",2014/2015,2015/2016,2,292000.0
"Sunshine Coast/Sea to Sky Division of Family Practice",2016/2017,2021/2022,6,876800.0
"The Medical Centre",2014/2015,2021/2022,4,258022.44
"Tumbler Ridge Health Centre",2014/2015,2024/2025,11,561577.6
"UBC Family Practice Centre",2014/2015,2016/2017,3,6254672.23
"Valemount Diagnosis & Treatment Centre",2014/2015,2024/2025,11,575359.73
"Vancouver City Centre UPCC - MI Services",2024/2025,2024/2025,1,202859.17
"Vancouver Family Practice",2017/2018,2024/2025,8,25386523.44
"Wallgate Holdings Inc",2016/2017,2024/2025,9,39489937.45
"Wallgate Holdings Inc.",2014/2015,2015/2016,2,4912861.01
"Westside Medical Associates",2017/2018,2018/2019,2,122585.0
"Whistler Health Care Centre",2014/2015,2024/2025,11,11989896.05
"White Rock/South Surrey Division Of Family Practice",2014/2015,2014/2015,1,359680.93
"White Rock/South Surrey Division of Family Practice",2015/2016,2015/2016,1,90908.36
