source_row_number,service_listing_id,location_id,organization_id,organization_name,service_id,service_name,taxonomy_code,taxonomy_name,description,phone,website,email,wheelchair_accessible,language,hours,address,city,province,postal_code,latitude,longitude,healthlinkbc_url,source_label,source_url
119,17646821,17646563,17646543,Interior Health,17646756,"Infant, Child and Youth Health",LT-3400,Immunizations,"Provides health information for infants, children and youth on topics such as immunization, dental health, hearing, speech and language, school health, nutrition, parenting education, and mental health. Parents and guardians can also learn about their child's growth and development on topics such as physical development, speech and language, sleep, injury prevention, and social emotional development.",2504956433,https://www.interiorhealth.ca/health-and-wellness/infant-child-and-youth-health,,Y,English,,4816 89th Street,Osoyoos,BC,V0H 1V1,49.019402,-119.469439,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646756&SiteResourceAgencyNum=17646563,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
120,17646823,17646822,17646543,Interior Health,17646756,"Infant, Child and Youth Health",LT-3400,Immunizations,"Provides health information for infants, children and youth on topics such as immunization, dental health, hearing, speech and language, school health, nutrition, parenting education, and mental health. Parents and guardians can also learn about their child's growth and development on topics such as physical development, speech and language, sleep, injury prevention, and social emotional development.",2502953233,https://www.interiorhealth.ca/health-and-wellness/infant-child-and-youth-health,,Y,English,,98 Ridgewood Drive,Princeton,BC,V0X 1W0,49.452991,-120.529332,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646756&SiteResourceAgencyNum=17646822,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
121,17646824,17646750,17646543,Interior Health,17646756,"Infant, Child and Youth Health",LT-3400,Immunizations,"Provides health information for infants, children and youth on topics such as immunization, dental health, hearing, speech and language, school health, nutrition, parenting education, and mental health. Parents and guardians can also learn about their child's growth and development on topics such as physical development, speech and language, sleep, injury prevention, and social emotional development.",2508517954,https://www.interiorhealth.ca/health-and-wellness/infant-child-and-youth-health,,Y,English,,450 Lansdowne Street,Kamloops,BC,V2C 1Y3,50.677005,-120.329179,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646756&SiteResourceAgencyNum=17646750,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
122,17646826,17646825,17646543,Interior Health,17646756,"Infant, Child and Youth Health",LT-3400,Immunizations,"Provides health information for infants, children and youth on topics such as immunization, dental health, hearing, speech and language, school health, nutrition, parenting education, and mental health. Parents and guardians can also learn about their child's growth and development on topics such as physical development, speech and language, sleep, injury prevention, and social emotional development.",2509804825,https://www.interiorhealth.ca/health-and-wellness/infant-child-and-youth-health,,Y,English,,155 Gray Road,Kelowna,BC,V1X 1W6,49.888003,-119.387816,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646756&SiteResourceAgencyNum=17646825,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
123,17646828,17646827,17646543,Interior Health,17646756,"Infant, Child and Youth Health",LT-3400,Immunizations,"Provides health information for infants, children and youth on topics such as immunization, dental health, hearing, speech and language, school health, nutrition, parenting education, and mental health. Parents and guardians can also learn about their child's growth and development on topics such as physical development, speech and language, sleep, injury prevention, and social emotional development.",2502653608,https://www.interiorhealth.ca/health-and-wellness/infant-child-and-youth-health,,Y,English,,97 1st Avenue NE,Nakusp,BC,V0G 1R0,50.238827,-117.795233,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646756&SiteResourceAgencyNum=17646827,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
124,17646830,17646829,17646543,Interior Health,17646756,"Infant, Child and Youth Health",LT-3400,Immunizations,"Provides health information for infants, children and youth on topics such as immunization, dental health, hearing, speech and language, school health, nutrition, parenting education, and mental health. Parents and guardians can also learn about their child's growth and development on topics such as physical development, speech and language, sleep, injury prevention, and social emotional development.",2508652247,https://www.interiorhealth.ca/health-and-wellness/infant-child-and-youth-health,,Y,English,,212 Alpine Way,Elkford,BC,V0B 1H0,50.021306,-114.918185,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646756&SiteResourceAgencyNum=17646829,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
125,17646832,17646831,17646543,Interior Health,17646756,"Infant, Child and Youth Health",LT-3400,Immunizations,"Provides health information for infants, children and youth on topics such as immunization, dental health, hearing, speech and language, school health, nutrition, parenting education, and mental health. Parents and guardians can also learn about their child's growth and development on topics such as physical development, speech and language, sleep, injury prevention, and social emotional development.",2504985080,https://www.interiorhealth.ca/health-and-wellness/infant-child-and-youth-health,,Y,English,,930 Spillway Road,Oliver,BC,V0H 1T8,49.184520,-119.538582,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646756&SiteResourceAgencyNum=17646831,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
126,17646834,17646833,17646543,Interior Health,17646756,"Infant, Child and Youth Health",LT-3400,Immunizations,"Provides health information for infants, children and youth on topics such as immunization, dental health, hearing, speech and language, school health, nutrition, parenting education, and mental health. Parents and guardians can also learn about their child's growth and development on topics such as physical development, speech and language, sleep, injury prevention, and social emotional development.",2504238288,https://www.interiorhealth.ca/health-and-wellness/infant-child-and-youth-health,,Y,English,,1501 5th Avenue,Fernie,BC,V0B 1M0,49.512769,-115.056676,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646756&SiteResourceAgencyNum=17646833,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
127,17646836,17646835,17646543,Interior Health,17646756,"Infant, Child and Youth Health",LT-3400,Immunizations,"Provides health information for infants, children and youth on topics such as immunization, dental health, hearing, speech and language, school health, nutrition, parenting education, and mental health. Parents and guardians can also learn about their child's growth and development on topics such as physical development, speech and language, sleep, injury prevention, and social emotional development.",2504492887,https://www.interiorhealth.ca/health-and-wellness/infant-child-and-youth-health,,Y,English,,540 7th Avenue,Midway,BC,V0H 1M0,49.007496,-118.774354,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646756&SiteResourceAgencyNum=17646835,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
128,17646837,17646565,17646543,Interior Health,17646756,"Infant, Child and Youth Health",LT-3400,Immunizations,"Provides health information for infants, children and youth on topics such as immunization, dental health, hearing, speech and language, school health, nutrition, parenting education, and mental health. Parents and guardians can also learn about their child's growth and development on topics such as physical development, speech and language, sleep, injury prevention, and social emotional development.",2507703434,https://www.interiorhealth.ca/health-and-wellness/infant-child-and-youth-health,,Y,English,,740 Carmi Avenue,Penticton,BC,V2A 8P9,49.482621,-119.575006,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646756&SiteResourceAgencyNum=17646565,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
129,82295078,17646943,17646543,Interior Health,17646756,"Infant, Child and Youth Health",LT-3400,Immunizations,"Provides health information for infants, children and youth on topics such as immunization, dental health, hearing, speech and language, school health, nutrition, parenting education, and mental health. Parents and guardians can also learn about their child's growth and development on topics such as physical development, speech and language, sleep, injury prevention, and social emotional development.",2502561314,https://www.interiorhealth.ca/health-and-wellness/infant-child-and-youth-health,,Y,English,,951 Murray Street,Lillooet,BC,V0K 1V0,50.689254,-121.939063,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17646756&SiteResourceAgencyNum=17646943,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
130,17648335,17646794,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400,Immunizations,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2505464700,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,3800 Patten Drive,Armstrong,BC,V0E 1B2,50.439273,-119.208583,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646794,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
131,17648335,17646794,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400.2000,Flu Vaccines,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2505464700,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,3800 Patten Drive,Armstrong,BC,V0E 1B2,50.439273,-119.208583,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646794,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
132,17648336,17646733,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400,Immunizations,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2504272215,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,260 4th Avenue,Kimberley,BC,V1A 2R6,49.690106,-115.985778,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646733,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
133,17648336,17646733,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400.2000,Flu Vaccines,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2504272215,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,260 4th Avenue,Kimberley,BC,V1A 2R6,49.690106,-115.985778,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646733,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
134,17648338,17646814,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400,Immunizations,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2508382450,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,707 3rd Avenue,Enderby,BC,V0E 1V0,50.546208,-119.140326,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646814,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
135,17648338,17646814,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400.2000,Flu Vaccines,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2508382450,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,707 3rd Avenue,Enderby,BC,V0E 1V0,50.546208,-119.140326,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646814,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
136,17648339,17646804,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400,Immunizations,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2503422360,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,850 10th Avenue,Invermere,BC,V0A 1K0,50.506441,-116.032224,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646804,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
137,17648339,17646804,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400.2000,Flu Vaccines,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2503422360,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,850 10th Avenue,Invermere,BC,V0A 1K0,50.506441,-116.032224,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646804,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
138,17648340,17646808,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400,Immunizations,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2505472164,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,2135 Norris Avenue,Lumby,BC,V0E 2G0,50.249469,-118.962320,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646808,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
139,17648340,17646808,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400.2000,Flu Vaccines,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2505472164,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,2135 Norris Avenue,Lumby,BC,V0E 2G0,50.249469,-118.962320,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646808,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
140,17648342,17646742,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400,Immunizations,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2509805150,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,160-2300 Carrington Road,West Kelowna,BC,V4T 2N6,49.830649,-119.620395,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646742,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
141,17648342,17646742,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400.2000,Flu Vaccines,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2509805150,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,160-2300 Carrington Road,West Kelowna,BC,V4T 2N6,49.830649,-119.620395,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646742,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
142,17648343,17646565,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400,Immunizations,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2507703434,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,740 Carmi Avenue,Penticton,BC,V2A 8P9,49.482621,-119.575006,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646565,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
143,17648343,17646565,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400.2000,Flu Vaccines,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2507703434,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,740 Carmi Avenue,Penticton,BC,V2A 8P9,49.482621,-119.575006,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646565,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
144,17648344,17646827,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400,Immunizations,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2502653608,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,97 1st Avenue NE,Nakusp,BC,V0G 1R0,50.238827,-117.795233,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646827,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
145,17648344,17646827,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400.2000,Flu Vaccines,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2502653608,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,97 1st Avenue NE,Nakusp,BC,V0G 1R0,50.238827,-117.795233,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646827,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
146,17648345,17646799,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400,Immunizations,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2503443001,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,835 9th Avenue S,Golden,BC,V0A 1H0,51.296527,-116.966604,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646799,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
147,17648345,17646799,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400.2000,Flu Vaccines,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2503443001,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,835 9th Avenue S,Golden,BC,V0A 1H0,51.296527,-116.966604,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646799,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
148,17648346,17646802,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400,Immunizations,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2503570104,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,413 Baker Avenue,Salmo,BC,V0G 1Z0,49.192695,-117.276273,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646802,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
149,17648346,17646802,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400.2000,Flu Vaccines,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2503570104,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,413 Baker Avenue,Salmo,BC,V0G 1Z0,49.192695,-117.276273,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646802,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
150,17648347,17646816,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400,Immunizations,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2503646200,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,1500 Columbia Avenue,Trail,BC,V1R 1J9,49.098068,-117.703270,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646816,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
151,17648347,17646816,17646543,Interior Health,17648334,Immunization and Vaccines,LT-3400.2000,Flu Vaccines,"Provides immunizations for infants, children, youth, and adults. Immunization services are offered at public health units, various community locations, schools, and through community health professionals such a doctors and pharmacists. See website for more information including adult immunizations, influenza vaccines, COVID-19 immunization clinics, vaccine providers, travel immunization, and infant, child and youth immunization.",2503646200,https://www.interiorhealth.ca/services/immunization-services,,Y,English,,1500 Columbia Avenue,Trail,BC,V1R 1J9,49.098068,-117.703270,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17648334&SiteResourceAgencyNum=17646816,HealthLinkBC Immunization Services in BC,https://catalogue.data.gov.bc.ca/dataset/f49ebe46-6faf-4b5d-a21e-c19db5ec69d7/resource/77f6cc12-ec92-4ed2-8a3b-6f7cf7245607/download/hlbc_immunizationclinics.csv
